年份,省份,区域,改进时间衰减法,传统CRITIC熵权法,单纯熵权法
2023,广西,西部,0.25126141124681467,0.2437402117555495,0.16395904306416395
2023,新疆,西部,0.2707518393859575,0.2597254601741641,0.1589104765192272
2023,江苏,东部,0.39211061741717185,0.38701616135481276,0.35982026364348363
2023,江西,中部,0.24936980464177677,0.24278726216827728,0.17430728426771816
2023,河北,东部,0.2204621529519959,0.21505980885629333,0.1627376836901603
2023,河南,中部,0.22754736390543695,0.22371133519937658,0.18755004307369316
2023,浙江,东部,0.3496690851625771,0.3453735956834786,0.316373116183662
2023,海南,东部,0.2160642952163232,0.2103256854136467,0.14422302492722344
2023,湖北,中部,0.2658299305318669,0.2596977808540424,0.21043544092276906
2023,湖南,中部,0.2594345118733292,0.2520007944792304,0.1900243034480955
2023,甘肃,西部,0.19336493926223128,0.18597736844643045,0.1137114673604687
2023,福建,东部,0.27322508699963094,0.2679763477555849,0.21213882082664953
2023,贵州,西部,0.24204095087978783,0.23322975500247994,0.15306705068649096
2023,辽宁,东北,0.26858811836425844,0.2618041063720341,0.1878340766710044
2023,重庆,西部,0.25665744039708016,0.2523033689204048,0.2008089129895547
2023,陕西,西部,0.21450916316763752,0.2095682682991778,0.1586015721242664
2023,青海,西部,0.2372398407052556,0.23014152394634563,0.14575368744659462
2023,黑龙江,东北,0.2516548793840235,0.2434646173563259,0.15970923249646568
